epochs,loss,accuracy,model,fit_time,total_params
1,0.8198722964091016,0.6437086,CNN Conv2D:2,3.866154446601868,53882700
2,0.9222792284378153,0.61986756,CNN Conv2D:2,7.732308893203736,53882700
3,0.9229120126623191,0.6278146,CNN Conv2D:2,11.598463339805603,53882700
4,1.1589474449094557,0.62913907,CNN Conv2D:2,15.464617786407471,53882700
5,1.1694117547660474,0.6463576,CNN Conv2D:2,19.330772233009338,53882700
6,1.400083461660423,0.6490066,CNN Conv2D:2,23.196926679611206,53882700
7,1.3118964469985457,0.63841057,CNN Conv2D:2,27.063081126213074,53882700
8,1.4930701493427454,0.66490066,CNN Conv2D:2,30.929235572814942,53882700
9,1.605873127409954,0.6966888,CNN Conv2D:2,34.79539001941681,53882700
10,2.4359497045049605,0.66225165,CNN Conv2D:2,38.661544466018675,53882700
11,2.3882535101870532,0.69801325,CNN Conv2D:2,42.527698912620544,53882700
12,2.552928487433503,0.6768212,CNN Conv2D:2,46.39385335922241,53882700
13,2.985698809923715,0.6847682,CNN Conv2D:2,50.26000780582428,53882700
14,2.6933307488134366,0.7112583,CNN Conv2D:2,54.12616225242615,53882700
15,2.976229632510156,0.69801325,CNN Conv2D:2,57.99231669902802,53882700
16,2.9440133664399286,0.70463574,CNN Conv2D:2,61.858471145629885,53882700
17,3.00766814037331,0.70198673,CNN Conv2D:2,65.72462559223175,53882700
18,3.023784642123821,0.70331126,CNN Conv2D:2,69.59078003883361,53882700
19,3.1042953188734637,0.70066226,CNN Conv2D:2,73.45693448543548,53882700
20,3.115019795693926,0.70331126,CNN Conv2D:2,77.32308893203735,53882700
21,3.0892838978628006,0.70728475,CNN Conv2D:2,81.18924337863922,53882700
22,3.1861048485121586,0.70728475,CNN Conv2D:2,85.05539782524109,53882700
23,3.1504759465988776,0.7059603,CNN Conv2D:2,88.92155227184296,53882700
24,3.1777626949322366,0.70728475,CNN Conv2D:2,92.78770671844482,53882700
25,3.2001303353750097,0.7059603,CNN Conv2D:2,96.65386116504669,53882700
26,3.243372008033769,0.70728475,CNN Conv2D:2,100.52001561164856,53882700
27,3.273535659211219,0.70728475,CNN Conv2D:2,104.38617005825043,53882700
28,3.275993558273817,0.70728475,CNN Conv2D:2,108.2523245048523,53882700
29,3.3327136077028423,0.70728475,CNN Conv2D:2,112.11847895145416,53882700
30,3.3179251315098393,0.70728475,CNN Conv2D:2,115.98463339805603,53882700
31,3.3188100091835473,0.70728475,CNN Conv2D:2,119.8507878446579,53882700
32,3.388885135202713,0.70728475,CNN Conv2D:2,123.71694229125977,53882700
33,3.3993272678045376,0.70728475,CNN Conv2D:2,127.58309673786164,53882700
34,3.387081388651782,0.7059603,CNN Conv2D:2,131.4492511844635,53882700
35,3.385232072613404,0.70728475,CNN Conv2D:2,135.31540563106537,53882700
36,3.3942385022945945,0.70728475,CNN Conv2D:2,139.18156007766723,53882700
37,3.4173486024370865,0.70728475,CNN Conv2D:2,143.0477145242691,53882700
38,3.402205289794103,0.70728475,CNN Conv2D:2,146.91386897087096,53882700
39,3.48982031420012,0.7059603,CNN Conv2D:2,150.78002341747285,53882700
40,3.480657953292321,0.7059603,CNN Conv2D:2,154.6461778640747,53882700
41,3.4933837284983924,0.7059603,CNN Conv2D:2,158.51233231067658,53882700
42,3.5360840355870637,0.7059603,CNN Conv2D:2,162.37848675727844,53882700
43,3.5317437352221064,0.7059603,CNN Conv2D:2,166.24464120388032,53882700
44,3.540695552167335,0.70463574,CNN Conv2D:2,170.11079565048217,53882700
45,3.559901617228376,0.70463574,CNN Conv2D:2,173.97695009708406,53882700
46,3.5802732297303947,0.70463574,CNN Conv2D:2,177.8431045436859,53882700
47,3.6270462622735935,0.70463574,CNN Conv2D:2,181.7092589902878,53882700
48,3.5824515534984354,0.7059603,CNN Conv2D:2,185.57541343688965,53882700
